customer_id,frequency,recency,T,monetary_value,is_dormant,segment,predicted_purchases,prob_alive,cluster,CLTV,cltv_segment,kmeans_cluster
1,24.0,2134.0,2165.0,3626.2916666666665,True,Dormant,1.071893984528395,0.9109002105775423,2,3887.0002236454475,Very High,1
598,1.0,1040.0,1202.0,3558.0,True,Dormant,0.013067484886616028,0.2177342978883728,1,46.494111226579825,High,2
837,1.0,530.0,817.0,4863.0,False,Regular,0.014977542798581635,0.18398326894985723,1,72.83579062950248,Very High,3
839,1.0,997.0,1585.0,2211.0,False,Regular,0.007696542268375783,0.13910271365667287,0,17.017054955378857,Medium,2
858,1.0,85.0,1219.0,3856.0,False,Active,0.001904571743146656,0.058809369359379714,1,7.344028641573506,Low,3
994,2.0,1633.0,2133.0,1050.5,True,Dormant,0.08183369504373841,0.30429992210355267,3,85.96629664344721,Very High,1
1023,1.0,961.0,1046.0,4902.0,False,Regular,0.01563979096432207,0.2352976760271438,1,76.6662553071068,Very High,3
1039,1.0,649.0,1567.0,3570.0,False,Regular,0.005465662489645995,0.09100338391194461,1,19.512415088036203,Medium,0
1099,1.0,1176.0,1959.0,4895.0,True,Dormant,0.0060105062570202095,0.11721650594576084,1,29.421428128113924,High,2
1224,1.0,80.0,1593.0,4646.0,False,Active,0.0011042036736291442,0.03719355387909992,1,5.130130267681004,Low,0
1229,1.0,254.0,1357.0,4981.0,False,Regular,0.0033027797858941714,0.06517059888355163,1,16.45114611353887,Medium,0
1232,1.0,481.0,1951.0,3426.0,False,Regular,0.0028060342548079905,0.046967139052102425,1,9.613473356972175,Low,0
1234,1.0,1368.0,1812.0,4014.0,True,Dormant,0.007870403715151492,0.16780997597746344,1,31.591800512618086,High,2
1259,1.0,534.0,1066.0,4044.0,False,Regular,0.009396400379485907,0.1380445091810026,1,37.999043134641006,High,3
1386,1.0,413.0,1990.0,3980.0,False,Regular,0.0023745611005199607,0.04063566212434972,1,9.450753180069444,Low,0
1439,1.0,1573.0,2155.0,4825.0,True,Dormant,0.006460982971173377,0.15031846875555063,1,31.174242835911542,High,2
1553,1.0,211.0,677.0,4504.0,False,Regular,0.010259855764400999,0.14195164739422872,1,46.2103903628621,High,3
1569,1.0,532.0,934.0,3042.0,False,Regular,0.011867436660248537,0.1607531835360996,1,36.10074232047605,High,3
1580,1.0,64.0,1876.0,1751.0,False,Active,0.0007143971834426601,0.026188877656888602,0,1.250909468208098,Low,0
1612,1.0,382.0,2155.0,752.0,False,Regular,0.0019092714078123834,0.03248686489380599,0,1.4357720986749123,Low,0
1625,1.0,94.0,1967.0,3589.0,False,Active,0.000807448185369933,0.024915772682019346,1,2.8979315372926897,Low,0
1637,1.0,496.0,1163.0,4553.0,False,Regular,0.007552365527019964,0.1170178642820797,1,34.3859202445219,High,3
1663,1.0,645.0,1183.0,2661.0,False,Regular,0.009094714291286601,0.13949443894075916,0,24.201034729113644,High,3
1785,2.0,334.0,1880.0,2932.0,False,Regular,0.0372230503606452,0.06850864586083295,3,109.13798365741174,Very High,1
1815,2.0,1154.0,1847.0,4509.0,True,Dormant,0.08945860551823788,0.23880008710249742,3,403.3688522817346,Very High,1
1841,1.0,601.0,1101.0,3235.0,False,Regular,0.009766681758642589,0.14474864555670114,1,31.595215489208776,High,3
1846,1.0,259.0,2156.0,4363.0,False,Regular,0.0013869513284883973,0.026700751972729298,1,6.0512686461948775,Low,0
1874,1.0,1080.0,1525.0,3192.0,True,Dormant,0.008823218632991917,0.1630278611486267,1,28.163713876510197,High,2
1900,2.0,689.0,1228.0,4568.5,False,Regular,0.12833134052848924,0.26227950066453387,3,586.2817292044031,Very High,1
1918,1.0,168.0,1858.0,3134.0,False,Active,0.0013280099892547018,0.031823581038944455,1,4.1619833063242355,Low,0
1927,1.0,1714.0,2132.0,4803.0,True,Dormant,0.00707929435163394,0.17689799433243308,1,34.00185077089781,High,2
1930,1.0,567.0,1329.0,1999.0,False,Regular,0.00661024837851352,0.10640497184162481,0,13.213886508648526,Medium,0
1933,2.0,1255.0,1510.0,4540.0,True,Dormant,0.11606548257378661,0.3694063406800293,3,526.9372908849912,Very High,1
1947,1.0,120.0,846.0,4201.0,False,Active,0.004647682406876417,0.09965485453527988,1,19.52491379128783,Medium,3
1949,1.0,249.0,294.0,4602.0,False,Regular,0.045925490278624886,0.2430529349808571,1,211.34910626223171,Very High,3
1962,1.0,297.0,678.0,4746.0,False,Regular,0.013207601076411316,0.1600933016372478,1,62.683274708648106,Very High,3
2033,1.0,366.0,930.0,3130.0,False,Regular,0.008857562446598265,0.1290730578761276,1,27.72417045785257,High,3
2036,2.0,1551.0,1603.0,3249.5,True,Dormant,0.11226766637987012,0.4424039518223523,3,364.813781901388,Very High,1
2038,1.0,1411.0,1802.0,4440.0,True,Dormant,0.008156638400409632,0.17724191990716456,1,36.21547449781876,High,2
2048,1.0,1719.0,1775.0,2884.0,True,Dormant,0.009851852222579957,0.24463702107550603,1,28.412741809920597,High,2
2051,1.0,268.0,1707.0,2870.0,False,Regular,0.0022307771693039235,0.044339900845374085,1,6.402330475902261,Low,0
